Council,Council Type
Ashburton District Council,Territorial
Auckland Council,Unitary
Bay of Plenty Regional Council,Regional
Buller District Council,Territorial
Canterbury Regional Council,Regional
Carterton District Council,Territorial
Central Hawke's Bay District Council,Territorial
Central Otago District Council,Territorial
Chatham Islands Council,Unitary
Christchurch City Council,Territorial
Clutha District Council,Territorial
Dunedin City Council,Territorial
Far North District Council,Territorial
Gisborne District Council,Unitary
Gore District Council,Territorial
Grey District Council,Territorial
Hamilton City Council,Territorial
Hastings District Council,Territorial
Hauraki District Council,Territorial
Hawke's Bay Regional Council,Regional
Horowhenua District Council,Territorial
Hurunui District Council,Territorial
Hutt City Council,Territorial
Invercargill City Council,Territorial
Kaikoura District Council,Territorial
Kaipara District Council,Territorial
Kapiti Coast District Council,Territorial
Kawerau District Council,Territorial
Mackenzie District Council,Territorial
Manawatu District Council,Territorial
Manawatu-Wanganui Regional Council,Regional
Marlborough District Council,Unitary
Masterton District Council,Territorial
Matamata-Piako District Council,Territorial
Napier City Council,Territorial
Nelson City Council,Unitary
New Plymouth District Council,Territorial
Northland Regional Council,Regional
Opotiki District Council,Territorial
Otago Regional Council,Regional
Otorohanga District Council,Territorial
Palmerston North City Council,Territorial
Porirua City Council,Territorial
Queenstown Lakes District Council,Territorial
Rangitikei District Council,Territorial
Rotorua District Council,Territorial
Ruapehu District Council,Territorial
Selwyn District Council,Territorial
South Taranaki District Council,Territorial
South Waikato District Council,Territorial
South Wairarapa District Council,Territorial
Southland District Council,Territorial
Southland Regional Council,Regional
Stratford District Council,Territorial
Taranaki Regional Council,Regional
Tararua District Council,Territorial
Tasman District Council,Unitary
Taupo District Council,Territorial
Tauranga City Council,Territorial
Thames-Coromandel District Council,Territorial
Timaru District Council,Territorial
Upper Hutt City Council,Territorial
Waikato District Council,Territorial
Waikato Regional Council,Regional
Waimakariri District Council,Territorial
Waimate District Council,Territorial
Waipa District Council,Territorial
Wairoa District Council,Territorial
Waitaki District Council,Territorial
Waitomo District Council,Territorial
Wellington City Council,Territorial
Greater Wellington Regional Council,Regional
West Coast Regional Council,Regional
Western Bay of Plenty District Council,Territorial
Westland District Council,Territorial
Whakatane District Council,Territorial
Whanganui District Council,Territorial
Whangarei District Council,Territorial
