Council,Year,Activity,Total operating expenditure (in $1000)
Ashburton District Council,2010,Roading,11278
Ashburton District Council,2010,Transportation,195
Ashburton District Council,2010,Water supply,5803
Ashburton District Council,2010,Wastewater,3959
Ashburton District Council,2010,Solid waste/refuse,3209
Ashburton District Council,2010,Environmental protection,192
Ashburton District Council,2010,Culture,1060
Ashburton District Council,2010,Recreation and sport,1624
Ashburton District Council,2010,Property,558
Ashburton District Council,2010,Emergency management,491
Ashburton District Council,2010,Planning and regulation,3390
Ashburton District Council,2010,Community development,520
Ashburton District Council,2010,Economic development,808
Ashburton District Council,2010,Governance,2006
Ashburton District Council,2010,Council support services,387
Ashburton District Council,2010,Other activities,1586
Ashburton District Council,2011,Roading,11105
Ashburton District Council,2011,Transportation,100
Ashburton District Council,2011,Water supply,7893
Ashburton District Council,2011,Wastewater,4882
Ashburton District Council,2011,Solid waste/refuse,3684
Ashburton District Council,2011,Environmental protection,1
Ashburton District Council,2011,Culture,1479
Ashburton District Council,2011,Recreation and sport,251
Ashburton District Council,2011,Property,1398
Ashburton District Council,2011,Emergency management,562
Ashburton District Council,2011,Planning and regulation,1214
Ashburton District Council,2011,Community development,2271
Ashburton District Council,2011,Economic development,158
Ashburton District Council,2011,Governance,355
Ashburton District Council,2011,Council support services,6438
Ashburton District Council,2011,Other activities,319
Ashburton District Council,2012,Roading,9668
Ashburton District Council,2012,Transportation,201
Ashburton District Council,2012,Water supply,4796
Ashburton District Council,2012,Wastewater,4070
Ashburton District Council,2012,Solid waste/refuse,2667
Ashburton District Council,2012,Environmental protection,0
Ashburton District Council,2012,Culture,1286
Ashburton District Council,2012,Recreation and sport,2917
Ashburton District Council,2012,Property,3088
Ashburton District Council,2012,Emergency management,364
Ashburton District Council,2012,Planning and regulation,2774
Ashburton District Council,2012,Community development,309
Ashburton District Council,2012,Economic development,788
Ashburton District Council,2012,Governance,523
Ashburton District Council,2012,Council support services,6954
Ashburton District Council,2012,Other activities,2678
Ashburton District Council,2013,Roading,10031
Ashburton District Council,2013,Transportation,260
Ashburton District Council,2013,Water supply,4065
Ashburton District Council,2013,Wastewater,4265
Ashburton District Council,2013,Solid waste/refuse,3225
Ashburton District Council,2013,Environmental protection,0
Ashburton District Council,2013,Culture,1713
Ashburton District Council,2013,Recreation and sport,2906
Ashburton District Council,2013,Property,3811
Ashburton District Council,2013,Emergency management,536
Ashburton District Council,2013,Planning and regulation,3932
Ashburton District Council,2013,Community development,446
Ashburton District Council,2013,Economic development,908
Ashburton District Council,2013,Governance,1805
Ashburton District Council,2013,Council support services,2972
Ashburton District Council,2013,Other activities,1723
Ashburton District Council,2014,Roading,10183
Ashburton District Council,2014,Transportation,157
Ashburton District Council,2014,Water supply,3491
Ashburton District Council,2014,Wastewater,4568
Ashburton District Council,2014,Solid waste/refuse,3053
Ashburton District Council,2014,Environmental protection,0
Ashburton District Council,2014,Culture,1435
Ashburton District Council,2014,Recreation and sport,4880
Ashburton District Council,2014,Property,965
Ashburton District Council,2014,Emergency management,399
Ashburton District Council,2014,Planning and regulation,3791
Ashburton District Council,2014,Community development,1294
Ashburton District Council,2014,Economic development,4861
Ashburton District Council,2014,Governance,1497
Ashburton District Council,2014,Council support services,4585
Ashburton District Council,2014,Other activities,0
Ashburton District Council,2015,Roading,11594
Ashburton District Council,2015,Transportation,277
Ashburton District Council,2015,Water supply,4745
Ashburton District Council,2015,Wastewater,4452
Ashburton District Council,2015,Solid waste/refuse,3639
Ashburton District Council,2015,Environmental protection,0
Ashburton District Council,2015,Culture,2015
Ashburton District Council,2015,Recreation and sport,5975
Ashburton District Council,2015,Property,4176
Ashburton District Council,2015,Emergency management,503
Ashburton District Council,2015,Planning and regulation,1943
Ashburton District Council,2015,Community development,927
Ashburton District Council,2015,Economic development,674
Ashburton District Council,2015,Governance,1402
Ashburton District Council,2015,Council support services,8620
Ashburton District Council,2015,Other activities,177
Auckland Council,2011,Roading,-768
Auckland Council,2011,Transportation,655
Auckland Council,2011,Water supply,48695
Auckland Council,2011,Wastewater,141555
