Council,Phone,Email,Post,URL
Ashburton District Council,(03) 307 7700,info@adc.govt.nz,PO Box 94 Ashburton 7740,www.ashburtondc.govt.nz
Auckland Council,(09) 301 0101,not available - please use online contact form,Private Bag 92300 Auckland 1142,www.aucklandcouncil.govt.nz
Bay of Plenty Regional Council,(0800) 884 880,info@boprc.govt.nz,PO Box 364 Whakatane 3158,www.boprc.govt.nz
Buller District Council,(0800) 807 239,info@bdc.govt.nz,PO Box 21 Westport 7866,www.bullerdc.govt.nz
Canterbury Regional Council,(03) 353 9007,ecinfo@ecan.govt.nz,PO Box 345 Christchurch 8140,www.ecan.govt.nz
Carterton District Council,(06) 379 4030,info@cdc.govt.nz,PO Box 9 Carterton 5743,www.cartertondc.co.nz
Central Hawke's Bay District Council,(06) 857 8060,info@chbdc.govt.nz,PO Box 127 Waipawa 4240,www.chbdc.govt.nz
Central Otago District Council,(03) 440 0056,codcalex@codc.govt.nz,PO Box 122 Alexandra 9340,www.codc.govt.nz
Chatham Islands Council,(03) 305 0033,info@cic.govt.nz,PO Box 24 Waitangi Chatham Islands 8942,www.cic.govt.nz
Christchurch City Council,(03) 941 8999,info@ccc.govt.nz,PO Box 73012 Christchurch 8154,www.ccc.govt.nz
Clutha District Council,(03) 419 0200,help.desk@cluthadc.govt.nz,PO Box 25 Balclutha 9240,www.cluthadc.govt.nz
Dunedin City Council,(03) 477 4000,dcc@dcc.govt.nz,PO Box 5045 Dunedin 9058,www.dunedin.govt.nz
Far North District Council,(09) 401 5200,not available - please use online contact form,Private Bag 752 Kaikohe 0440,www.fndc.govt.nz
Gisborne District Council,(06) 867 2049,service@gdc.govt.nz,PO Box 747 Gisborne 4010,www.gdc.govt.nz
Gore District Council,(03) 209 0330,info@goredc.govt.nz,PO Box 8 Gore,www.goredc.govt.nz
Grey District Council,(03) 769 8600,info@greydc.govt.nz,PO Box 382 Greymouth 7840,www.greydc.govt.nz
Hamilton City Council,(07) 838 6699,info@hcc.govt.nz,Private Bag 3010 Hamilton 3240,www.hamilton.co.nz
Hastings District Council,(06) 871 5000,council@hdc.govt.nz,Private Bag 9002 Hastings 4156,www.hastingsdc.govt.nz
Hauraki District Council,(07) 862 8609,info@hauraki-dc.govt.nz,PO Box 17 Paeroa 3640,www.hauraki-dc.govt.nz
Hawke's Bay Regional Council,(06) 835 9200,info@hbrc.govt.nz,Private Bag 6006 Napier 4142,www.hbrc.govt.nz
Horowhenua District Council,(06) 366 0999,enquiries@horowhenua.govt.nz,Private Bag 4002 Levin 5540,www.horowhenua.govt.nz
Hurunui District Council,(03) 314 8816,info@hurunui.govt.nz,PO Box 13 Amberley 7441,www.hurunui.govt.nz
Hutt City Council,(04) 570 6666,contact@huttcity.govt.nz,Private Bag 31912  Lower Hutt 5040,www.huttcity.govt.nz
Invercargill City Council,(03) 211 1777,service@icc.govt.nz,Private Bag 90104 Invercargill 9840,www.icc.govt.nz
Kaikoura District Council,(03) 319 5026,kdc@kaikoura.govt.nz,PO Box 6 Kaikoura,www.kaikoura.govt.nz
Kaipara District Council,(09) 439 3123,council@kaipara.govt.nz,Private Bag 1001 Dargaville 0340,www.kaipara.govt.nz
Kapiti Coast District Council,(04) 296 4700,kapiti.council@kapiticoast.govt.nz,Private Bag 60601 Paraparaumu 5254 ,www.kapiticoast.govt.nz
Kawerau District Council,(07) 306 9009,kaweraudc@kaweraudc.govt.nz,Private Bag 1004 Kawerau 3169,www.kaweraudc.govt.nz
Mackenzie District Council,(03) 685 9010,info@mackenzie.govt.nz,PO Box 52 Fairlie 7949,www.mackenzie.govt.nz
Manawatu-Wanganui Regional Council,(06) 952 2800,help@horizons.govt.nz,Private Bag 11025 Palmerston North 4442,www.horizons.govt.nz
Manawatu District Council,(06) 323 0000,public@mdc.govt.nz,Private Bag 10001 Feilding 4743,www.mdc.govt.nz
Marlborough District Council,(03) 520 7400,mdc@marlborough.govt.nz,PO Box 443  Blenheim 7240,www.marlborough.govt.nz
Masterton District Council,(06) 370 6300,mdc@mstn.govt.nz,PO Box 444 Masterton 5840,www.mstn.govt.nz
Matamata-Piako District Council,(07) 884 0060,info@mpdc.govt.nz,PO Box 266 Te Aroha 3342,www.mpdc.govt.nz
Napier City Council,(06) 835 7579,info@napier.govt.nz,Private Bag 6010 Napier 4142,www.napier.govt.nz
Nelson City Council,(03) 546 0200,enquiry@ncc.govt.nz,PO Box 645 Nelson 7040,www.nelsoncitycouncil.co.nz
New Plymouth District Council,(06) 759 6060,enquiries@npdc.govt.nz,Private Bag 2025 New Plymouth 4342,www.newplymouthnz.com
Northland Regional Council,(09) 470 1200,mailroom@nrc.govt.nz,Private Bag 9021  Whangarei 0148,www.nrc.govt.nz
Opotiki District Council,(07) 315 3030,info@odc.govt.nz,PO Box 44 Opotiki 3162,www.odc.govt.nz
Otago Regional Council,(03) 474 0827,info@orc.govt.nz,Private Bag 1954 Dunedin 9054,www.orc.govt.nz
Otorohanga District Council,(07) 873 4000,info@otodc.govt.nz,PO Box 11 Otorohanga 3940,www.otodc.govt.nz
Palmerston North City Council,(06) 356 8199,info@pncc.govt.nz,Private Bag 11034 Palmerston North 4442,www.pncc.govt.nz
Porirua City Council,(04) 237 5089,enquiries@pcc.govt.nz,PO Box 50218 Porirua 5240,www.pcc.govt.nz
Queenstown-Lakes District Council,(03) 441 0499,services@qldc.govt.nz,Private Bag 50072 Queenstown 9348,www.qldc.govt.nz
Rangitikei District Council,(06) 327 0099,info@rangitikei.govt.nz,Private Bag 1102 Marton 4741,www.rangdc.govt.nz
Rotorua District Council,(07) 348 4199,info@rotorualc.nz,Private Bag 3029 Rotorua 3046,www.rdc.govt.nz
Ruapehu District Council,(07) 895 8188,info@ruapehudc.govt.nz,Private Bag 1001 Taumarunui 3946,www.ruapehudc.govt.nz
Selwyn District Council,(03) 347 2800,admin@selwyn.govt.nz,PO Box 90 Rolleston 7643,www.selwyn.govt.nz
South Taranaki District Council,(06) 278 0555,contact@stdc.govt.nz,Private Bag 902 Hawera 4640,www.stdc.co.nz
South Waikato District Council,(07) 885 0340,info@southwaikato.govt.nz,Private Bag 7 Tokoroa 3444,www.southwaikato.govt.nz
South Wairarapa District Council,(06) 306 9611,enquiries@swdc.govt.nz,PO Box 6 Martinborough 5741,www.swdc.govt.nz
Southland District Council,(0800) 732 732,emailsdc@southlanddc.govt.nz,PO Box 903 Invercargill 9840,www.southlanddc.govt.nz
Southland Regional Council,(0800) 768 845,service@es.govt.nz,Private Bag 90116 Invercargill 9840,www.es.govt.nz
Stratford District Council,(06) 765 6099,stratforddc@stratford.govt.nz,PO Box 320 Stratford 4352,www.stratford.govt.nz
Taranaki Regional Council,(06) 765 7127,info@trc.govt.nz,Private Bag 713  Stratford 4352,www.trc.govt.nz
Tararua District Council,(06) 374 4080,info@tararuadc.govt.nz,PO Box 115 Dannevirke 4942,www.tararuadc.govt.nz
Tasman District Council,(03) 543 8400,info@tasman.govt.nz,Private Bag 4 Richmond Nelson 7050,www.tasman.govt.nz
Taupo District Council,(07) 376 0899,info@taupo.govt.nz,Private Bag 2005 Taupo 3352,www.taupodc.govt.nz
Tauranga City Council,(07) 577 7000,info@tauranga.govt.nz,Private Bag 12022 Tauranga 3143,www.tauranga.govt.nz
Thames-Coromandel District Council,(07) 868 0200,customer.services@tcdc.govt.nz,Private Bag 1001 Thames 3580,www.tcdc.govt.nz
Timaru District Council,(03) 687 7200,enquiry@timdc.govt.nz,PO Box 522 Timaru 7940,www.timaru.govt.nz
Upper Hutt City Council,(04) 527 2169,askus@uhcc.govt.nz,Private Bag 907 Upper Hutt 5140,www.upperhuttcity.com
Waikato District Council,(0800) 492 452,info@waidc.govt.nz,Private Bag 544 Ngaruawahia 3742,www.waikatodistrict.govt.nz
Waikato Regional Council,(07) 859 0999,info@ew.govt.nz,Private Bag 3038 Hamilton 3240,www.waikatoregion.govt.nz
Waimakariri District Council,(03) 311 8900,office@wmk.govt.nz,Private Bag 1005 Rangiora 7440,www.waimakariri.govt.nz
Waimate District Council,(03) 689 7771,info@waimatedc.govt.nz,PO Box 122 Waimate 7960,www.waimatedc.govt.nz
Waipa District Council,(07) 872 0030,info@waipadc.govt.nz,Private Bag 2402 Te Awamutu 3840,www.waipadc.govt.nz
Wairoa District Council,(06) 838 7309,administrator@wairoadc.govt.nz,PO Box 54 Wairoa 4160,www.wairoadc.govt.nz
Waitaki District Council,(03) 433 0300,service@waitaki.govt.nz,Private Bag 50058 Oamaru 9444,www.waitaki.govt.nz
